entity_id,entity_type,display_name,habitual_hour_start,habitual_hour_end,home_city,home_country,home_lat,home_lon,home_subnet,typical_resources,typical_auth_method,typical_os,typical_mac,typical_protocol,mean_session_seconds,std_session_seconds
USE-00011,user,Ann Williams,6,13,Toronto,CA,43.6532,-79.3832,10.43.76,"[np.str_('resource/hr/004'), np.str_('resource/iot_gateway/006'), np.str_('resource/engineering/015'), np.str_('resource/iot_gateway/011'), np.str_('resource/hr/012')]",certificate,IoT-RTOS,62:38:4e:51:d8:20,SMB,702.7412716185263,126.36478846665501
USE-00012,user,Zachary Rice,6,13,Frankfurt,DE,50.1109,8.6821,10.120.205,"[np.str_('resource/engineering/005'), np.str_('resource/customer_db/023'), np.str_('resource/customer_db/019'), np.str_('resource/customer_db/006'), np.str_('resource/finance/013'), np.str_('resource/customer_db/017'), np.str_('resource/billing/004'), np.str_('resource/finance/017')]",mfa,IoT-RTOS,4a:05:3a:88:ae:39,SSH,994.7296361521835,99.0040628549084
USE-00013,user,Jesse Mckay,6,14,Frankfurt,DE,50.1109,8.6821,10.168.186,"[np.str_('resource/billing/025'), np.str_('resource/infra/007'), np.str_('resource/engineering/010'), np.str_('resource/engineering/014'), np.str_('resource/infra/011'), np.str_('resource/hr/003'), np.str_('resource/finance/002')]",api_key,IoT-RTOS,26:86:5b:36:98:65,MQTT,301.00478920590626,184.8821321247694
USE-00014,user,Christopher Ashley,6,13,Lagos,NG,6.5244,3.3792,10.211.117,"[np.str_('resource/infra/010'), np.str_('resource/hr/003'), np.str_('resource/infra/011')]",certificate,IoT-RTOS,ec:00:a5:fa:09:39,SSH,1720.8709837171716,72.36521086522134
USE-00015,user,William Roman,8,17,Sao Paulo,BR,-23.5505,-46.6333,10.110.247,"[np.str_('resource/devops/011'), np.str_('resource/hr/008'), np.str_('resource/devops/021'), np.str_('resource/hr/011')]",certificate,Windows 11,ba:7a:1d:7b:28:2b,SFTP,1377.6614726876746,180.34264835813448
USE-00016,user,Mr. Philip Cannon,9,16,London,UK,51.5074,-0.1278,10.190.96,"[np.str_('resource/iot_gateway/008'), np.str_('resource/engineering/017'), np.str_('resource/customer_db/017'), np.str_('resource/billing/003'), np.str_('resource/engineering/012'), np.str_('resource/finance/005')]",mfa,Windows 11,f6:41:f3:54:87:d8,SFTP,524.8305660095504,42.096427834067484
USE-00017,user,Joshua Blair,9,18,New York,US,40.7128,-74.006,10.223.11,"[np.str_('resource/iot_gateway/023'), np.str_('resource/engineering/024'), np.str_('resource/hr/011')]",password,Windows Server 2022,e6:66:9f:cc:bf:e0,SSH,1426.0401282451783,194.92875669097413
USE-00018,user,Barbara Walker,8,16,Sydney,AU,-33.8688,151.2093,10.33.4,"[np.str_('resource/finance/003'), np.str_('resource/hr/010'), np.str_('resource/devops/011')]",api_key,IoT-RTOS,12:ad:0a:75:70:03,HTTPS,970.6342851226634,144.96723841571958
USE-00019,user,Amy Jones,8,16,Toronto,CA,43.6532,-79.3832,10.33.110,"[np.str_('resource/iot_gateway/019'), np.str_('resource/billing/010'), np.str_('resource/finance/005'), np.str_('resource/billing/021')]",password,macOS Sonoma,aa:10:a9:24:79:8e,SFTP,787.9313656259003,74.17076452056915
USE-00020,user,Mr. Nathaniel Khan,7,15,San Francisco,US,37.7749,-122.4194,10.161.214,"[np.str_('resource/engineering/007'), np.str_('resource/devops/017'), np.str_('resource/devops/013'), np.str_('resource/devops/010'), np.str_('resource/engineering/012'), np.str_('resource/infra/003')]",password,RHEL 9,18:f2:7c:f2:d0:61,HTTPS,824.1120564513905,193.9217441857727
USE-00021,user,Jeffrey Henderson,8,15,San Francisco,US,37.7749,-122.4194,10.59.85,"[np.str_('resource/customer_db/017'), np.str_('resource/billing/019'), np.str_('resource/customer_db/010'), np.str_('resource/finance/004'), np.str_('resource/infra/025'), np.str_('resource/billing/007'), np.str_('resource/iot_gateway/018'), np.str_('resource/billing/006')]",sso,RHEL 9,ba:ef:1b:32:1f:ce,SMB,1577.8014423436987,128.5592883209706
USE-00022,user,Scott Wright,7,14,Frankfurt,DE,50.1109,8.6821,10.63.68,"[np.str_('resource/devops/007'), np.str_('resource/finance/023'), np.str_('resource/iot_gateway/005'), np.str_('resource/customer_db/009'), np.str_('resource/devops/018')]",mfa,IoT-RTOS,46:61:e5:47:d8:5d,MQTT,1491.8355225521696,38.95005437374249
USE-00023,user,Shannon Jones,6,14,Moscow,RU,55.7558,37.6173,10.42.39,"[np.str_('resource/engineering/014'), np.str_('resource/hr/004'), np.str_('resource/hr/013'), np.str_('resource/billing/014'), np.str_('resource/engineering/020'), np.str_('resource/engineering/013')]",mfa,macOS Sonoma,2a:32:19:07:2f:79,HTTPS,314.0233069577963,23.806642940559207
USE-00024,user,John Hancock,6,13,Mumbai,IN,19.076,72.8777,10.100.211,"[np.str_('resource/billing/014'), np.str_('resource/finance/011'), np.str_('resource/infra/019'), np.str_('resource/customer_db/011')]",mfa,IoT-RTOS,42:1e:54:c2:01:c7,SMB,1590.0083029541424,173.2036928279971
USE-00025,user,Rachel Mitchell,6,14,Tokyo,JP,35.6762,139.6503,10.106.71,"[np.str_('resource/devops/001'), np.str_('resource/hr/025'), np.str_('resource/hr/022'), np.str_('resource/hr/021')]",password,Windows 11,f6:f9:4f:61:97:6f,RDP,999.9049538456305,38.300942522668876
USE-00026,user,Noah Brown,9,16,San Francisco,US,37.7749,-122.4194,10.215.204,"[np.str_('resource/iot_gateway/013'), np.str_('resource/devops/010'), np.str_('resource/customer_db/006')]",certificate,Windows Server 2022,0e:a0:1d:19:f4:50,SFTP,1467.4034788596373,160.3059573388392
USE-00027,user,Angela Lopez,8,16,Sao Paulo,BR,-23.5505,-46.6333,10.163.63,"[np.str_('resource/iot_gateway/019'), np.str_('resource/engineering/014'), np.str_('resource/hr/002'), np.str_('resource/infra/006'), np.str_('resource/billing/012'), np.str_('resource/infra/003'), np.str_('resource/devops/019')]",mfa,Windows 11,94:22:78:ce:3d:7e,HTTPS,922.8338203598929,95.0400863470793
USE-00028,user,Lisa Barnes,6,14,Sao Paulo,BR,-23.5505,-46.6333,10.75.202,"[np.str_('resource/customer_db/012'), np.str_('resource/engineering/016'), np.str_('resource/iot_gateway/021'), np.str_('resource/customer_db/024'), np.str_('resource/engineering/023')]",certificate,RHEL 9,42:a1:85:68:a0:7a,SFTP,927.929519544132,79.10501690084399
USE-00029,user,Michael Evans,8,17,Sydney,AU,-33.8688,151.2093,10.177.128,"[np.str_('resource/billing/003'), np.str_('resource/infra/006'), np.str_('resource/infra/009'), np.str_('resource/devops/025'), np.str_('resource/billing/008'), np.str_('resource/iot_gateway/002'), np.str_('resource/hr/015'), np.str_('resource/customer_db/020')]",certificate,IoT-RTOS,12:a1:25:04:ea:33,HTTPS,1152.1579641104252,37.117234681388226
USE-00030,user,Katie Anderson,8,16,Sao Paulo,BR,-23.5505,-46.6333,10.244.43,"[np.str_('resource/iot_gateway/020'), np.str_('resource/devops/012'), np.str_('resource/infra/004')]",certificate,Ubuntu 22.04,28:b2:23:7d:bd:91,SMB,1434.8084957776389,163.12067101695547
USE-00031,user,Joshua Turner,9,16,Lagos,NG,6.5244,3.3792,10.43.32,"[np.str_('resource/finance/020'), np.str_('resource/iot_gateway/018'), np.str_('resource/infra/017'), np.str_('resource/finance/010')]",sso,Windows 11,1c:04:99:35:44:87,SMB,902.8550570084619,114.0737195923621
USE-00032,user,Natalie Moore,9,18,Mumbai,IN,19.076,72.8777,10.167.185,"[np.str_('resource/customer_db/021'), np.str_('resource/infra/019'), np.str_('resource/devops/011'), np.str_('resource/hr/022'), np.str_('resource/billing/020'), np.str_('resource/hr/003'), np.str_('resource/infra/001')]",sso,IoT-RTOS,80:90:6b:af:68:87,MQTT,1247.6687743584355,80.05479649908287
USE-00033,user,Taylor Mathis Jr.,9,18,Mumbai,IN,19.076,72.8777,10.111.188,"[np.str_('resource/engineering/022'), np.str_('resource/devops/025'), np.str_('resource/billing/006'), np.str_('resource/infra/006'), np.str_('resource/infra/024'), np.str_('resource/engineering/013'), np.str_('resource/engineering/003')]",mfa,Windows 11,c4:d8:8d:16:01:aa,MQTT,1049.028349624872,188.5051976309232
USE-00034,user,William Martin,9,17,Singapore,SG,1.3521,103.8198,10.30.69,"[np.str_('resource/engineering/025'), np.str_('resource/hr/003'), np.str_('resource/iot_gateway/005'), np.str_('resource/finance/001'), np.str_('resource/devops/022')]",certificate,IoT-RTOS,f0:e2:da:04:39:26,SMB,324.82841960298913,125.88643999445972
USE-00035,user,Stephanie Gardner,8,16,New York,US,40.7128,-74.006,10.75.246,"[np.str_('resource/customer_db/016'), np.str_('resource/finance/019'), np.str_('resource/iot_gateway/020')]",sso,Windows Server 2022,4e:bd:4b:dc:41:15,RDP,627.2380176233859,185.31954119279976
USE-00036,user,Timothy Stanton,9,17,Mumbai,IN,19.076,72.8777,10.72.198,"[np.str_('resource/customer_db/003'), np.str_('resource/devops/024'), np.str_('resource/finance/009')]",certificate,Windows 11,5a:14:b7:6b:7f:34,HTTPS,1798.4959471967209,139.82325249917665
USE-00037,user,Stacey Russell,8,16,San Francisco,US,37.7749,-122.4194,10.61.115,"[np.str_('resource/devops/004'), np.str_('resource/billing/023'), np.str_('resource/iot_gateway/010')]",password,IoT-RTOS,06:4f:79:53:5a:d3,MQTT,452.98310171766843,183.91488088355936
USE-00038,user,Tim Patton,8,17,Frankfurt,DE,50.1109,8.6821,10.154.249,"[np.str_('resource/hr/007'), np.str_('resource/devops/024'), np.str_('resource/finance/002')]",certificate,IoT-RTOS,60:d2:7f:88:51:37,SSH,1547.0068561107626,30.301749227586868
USE-00039,user,Shannon Walker,9,18,Mumbai,IN,19.076,72.8777,10.190.139,"[np.str_('resource/billing/012'), np.str_('resource/finance/009'), np.str_('resource/customer_db/014'), np.str_('resource/billing/015'), np.str_('resource/billing/016'), np.str_('resource/finance/024'), np.str_('resource/iot_gateway/025'), np.str_('resource/iot_gateway/012')]",api_key,Windows 11,06:eb:b3:9c:74:72,SFTP,380.7578273010327,152.23179654832907
USE-00040,user,Jennifer Ramirez,6,13,New York,US,40.7128,-74.006,10.13.17,"[np.str_('resource/finance/020'), np.str_('resource/devops/022'), np.str_('resource/iot_gateway/016'), np.str_('resource/infra/004')]",api_key,Windows 11,f0:23:8e:b3:cc:a9,HTTPS,1605.364795096253,147.72409131811173
USE-00041,user,Shawn Green,6,14,Singapore,SG,1.3521,103.8198,10.116.138,"[np.str_('resource/billing/003'), np.str_('resource/hr/012'), np.str_('resource/customer_db/001')]",api_key,Windows Server 2022,ba:87:13:37:de:b0,SMB,1081.6540919305107,46.12344583970895
USE-00042,user,Jessica Joyce,9,17,London,UK,51.5074,-0.1278,10.239.40,"[np.str_('resource/infra/007'), np.str_('resource/customer_db/008'), np.str_('resource/iot_gateway/015'), np.str_('resource/infra/015')]",password,Ubuntu 22.04,b4:3b:c5:61:82:16,SMB,798.7777764444868,105.35037130687127
USE-00043,user,Joseph Drake,6,15,San Francisco,US,37.7749,-122.4194,10.109.200,"[np.str_('resource/finance/019'), np.str_('resource/engineering/006'), np.str_('resource/devops/013')]",api_key,Ubuntu 22.04,9e:64:ba:dc:23:a9,SMB,811.842306263758,93.58095969716548
USE-00044,user,Ryan Cortez,6,15,Moscow,RU,55.7558,37.6173,10.145.89,"[np.str_('resource/engineering/013'), np.str_('resource/engineering/010'), np.str_('resource/finance/008'), np.str_('resource/infra/018'), np.str_('resource/customer_db/009'), np.str_('resource/devops/007')]",sso,macOS Sonoma,b2:99:9e:d1:a7:ce,MQTT,1208.553450098033,137.43795017378568
USE-00045,user,Cameron Fisher,7,14,Sao Paulo,BR,-23.5505,-46.6333,10.226.32,"[np.str_('resource/engineering/017'), np.str_('resource/infra/008'), np.str_('resource/infra/005'), np.str_('resource/customer_db/010'), np.str_('resource/infra/006'), np.str_('resource/infra/025'), np.str_('resource/hr/014')]",certificate,IoT-RTOS,4c:c2:59:9a:cf:00,SMB,994.0621927641561,163.97667393749057
USE-00046,user,Jeffrey Carpenter,7,15,London,UK,51.5074,-0.1278,10.44.186,"[np.str_('resource/finance/023'), np.str_('resource/finance/015'), np.str_('resource/finance/012'), np.str_('resource/finance/009'), np.str_('resource/customer_db/021'), np.str_('resource/billing/019'), np.str_('resource/engineering/025'), np.str_('resource/billing/023')]",mfa,Windows 11,82:a4:ee:e2:e2:6d,MQTT,144.66717718091888,168.89121641372355
USE-00047,user,Steven Flynn,9,17,Mumbai,IN,19.076,72.8777,10.244.19,"[np.str_('resource/iot_gateway/009'), np.str_('resource/infra/020'), np.str_('resource/hr/006'), np.str_('resource/hr/023'), np.str_('resource/iot_gateway/014')]",certificate,Ubuntu 22.04,d0:56:2b:91:ab:2f,MQTT,642.4153366668872,143.77970884989665
USE-00048,user,Cynthia Collins,8,17,San Francisco,US,37.7749,-122.4194,10.41.181,"[np.str_('resource/engineering/017'), np.str_('resource/devops/007'), np.str_('resource/iot_gateway/010'), np.str_('resource/finance/003'), np.str_('resource/iot_gateway/002')]",password,Ubuntu 22.04,fa:65:4b:0c:17:7d,SFTP,1781.7434445084573,120.07449704512071
USE-00049,user,Samuel Jones,9,18,London,UK,51.5074,-0.1278,10.38.78,"[np.str_('resource/finance/017'), np.str_('resource/billing/017'), np.str_('resource/customer_db/013'), np.str_('resource/hr/003'), np.str_('resource/customer_db/024'), np.str_('resource/iot_gateway/001'), np.str_('resource/customer_db/003'), np.str_('resource/engineering/016')]",password,Windows Server 2022,3e:d4:63:c4:fd:cc,SFTP,195.01046947678853,61.91341128986713
USE-00050,user,Michael Stafford,7,14,London,UK,51.5074,-0.1278,10.215.217,"[np.str_('resource/iot_gateway/019'), np.str_('resource/customer_db/024'), np.str_('resource/finance/003'), np.str_('resource/infra/016'), np.str_('resource/devops/021')]",api_key,macOS Sonoma,0c:36:d9:70:5a:ed,SMB,1245.9414689902762,157.32254342711522
USE-00051,user,Sylvia Martinez,6,15,Sao Paulo,BR,-23.5505,-46.6333,10.196.175,"[np.str_('resource/iot_gateway/021'), np.str_('resource/billing/025'), np.str_('resource/engineering/018'), np.str_('resource/infra/007'), np.str_('resource/devops/012')]",certificate,Ubuntu 22.04,d4:44:ed:a2:e2:da,SMB,1648.047769703868,125.6823092966565
USE-00052,user,Jill Moore,9,17,San Francisco,US,37.7749,-122.4194,10.233.160,"[np.str_('resource/infra/006'), np.str_('resource/billing/018'), np.str_('resource/customer_db/024'), np.str_('resource/infra/004'), np.str_('resource/infra/015')]",api_key,Ubuntu 22.04,c4:f3:e6:84:7e:8d,SSH,689.2774678241364,54.48854173928597
USE-00053,user,Kari Allen,6,14,Frankfurt,DE,50.1109,8.6821,10.250.204,"[np.str_('resource/iot_gateway/009'), np.str_('resource/hr/004'), np.str_('resource/infra/019'), np.str_('resource/customer_db/007'), np.str_('resource/finance/002'), np.str_('resource/infra/013'), np.str_('resource/customer_db/012'), np.str_('resource/engineering/011')]",api_key,IoT-RTOS,54:e1:27:92:78:8b,RDP,1399.2067061491327,182.59901695352954
USE-00054,user,Joshua Taylor,8,15,Tokyo,JP,35.6762,139.6503,10.247.27,"[np.str_('resource/finance/015'), np.str_('resource/infra/021'), np.str_('resource/billing/002'), np.str_('resource/finance/023'), np.str_('resource/customer_db/015'), np.str_('resource/iot_gateway/022'), np.str_('resource/billing/020'), np.str_('resource/infra/001')]",certificate,Windows 11,6a:76:c4:4e:6d:20,SSH,1352.7058756956992,154.99703682834834
USE-00055,user,Joshua Perry,7,14,Sao Paulo,BR,-23.5505,-46.6333,10.124.223,"[np.str_('resource/engineering/009'), np.str_('resource/finance/009'), np.str_('resource/infra/002')]",certificate,IoT-RTOS,7a:69:d7:c7:0a:c2,RDP,1762.9005248440517,94.08368039493078
USE-00056,user,Guy Molina,9,17,New York,US,40.7128,-74.006,10.235.113,"[np.str_('resource/infra/011'), np.str_('resource/hr/019'), np.str_('resource/infra/009')]",certificate,Windows Server 2022,6e:d6:70:f9:70:8b,HTTPS,746.1399333953134,28.765725016493228
USE-00057,user,Mr. Michael Yates,6,15,Singapore,SG,1.3521,103.8198,10.59.25,"[np.str_('resource/devops/025'), np.str_('resource/billing/003'), np.str_('resource/iot_gateway/023'), np.str_('resource/iot_gateway/015'), np.str_('resource/finance/002'), np.str_('resource/iot_gateway/004'), np.str_('resource/billing/023')]",api_key,Windows Server 2022,96:54:ef:41:0d:c9,SFTP,127.56020989862732,112.63328158094296
USE-00058,user,Alyssa Day,8,16,Frankfurt,DE,50.1109,8.6821,10.171.64,"[np.str_('resource/billing/001'), np.str_('resource/customer_db/005'), np.str_('resource/iot_gateway/015')]",mfa,Ubuntu 22.04,60:45:ec:5d:19:85,SFTP,704.6927913279841,173.6020408059307
USE-00059,user,Jesse Rogers,7,16,Moscow,RU,55.7558,37.6173,10.87.114,"[np.str_('resource/engineering/005'), np.str_('resource/customer_db/003'), np.str_('resource/infra/010'), np.str_('resource/finance/023'), np.str_('resource/customer_db/013'), np.str_('resource/devops/003')]",api_key,Ubuntu 22.04,78:c2:8e:d7:81:29,MQTT,1797.888861712165,73.34517026200969
USE-00060,user,Joshua Cooke,7,15,Toronto,CA,43.6532,-79.3832,10.178.187,"[np.str_('resource/finance/024'), np.str_('resource/infra/015'), np.str_('resource/hr/013')]",sso,Windows 11,f2:b3:72:23:14:0f,RDP,1657.701917279732,109.4449873034629
USE-00061,user,Ryan Howell,6,13,Singapore,SG,1.3521,103.8198,10.161.224,"[np.str_('resource/infra/011'), np.str_('resource/engineering/020'), np.str_('resource/hr/016'), np.str_('resource/finance/014'), np.str_('resource/finance/017')]",mfa,Ubuntu 22.04,76:7a:40:f2:3a:6f,RDP,1731.4715783788874,155.35336188348478
USE-00062,user,Pamela Jackson,8,17,Tokyo,JP,35.6762,139.6503,10.231.78,"[np.str_('resource/hr/023'), np.str_('resource/devops/003'), np.str_('resource/engineering/019'), np.str_('resource/customer_db/002')]",sso,IoT-RTOS,ec:3a:53:9f:37:0d,MQTT,1112.4512541951271,137.61905762170915
USE-00063,user,Michael Rubio,7,16,New York,US,40.7128,-74.006,10.72.15,"[np.str_('resource/hr/007'), np.str_('resource/engineering/010'), np.str_('resource/hr/011'), np.str_('resource/engineering/014')]",sso,Windows Server 2022,b2:cb:65:26:7c:34,MQTT,1436.8245037511988,98.90952654515472
USE-00064,user,Sarah Burke,7,16,Moscow,RU,55.7558,37.6173,10.166.81,"[np.str_('resource/billing/008'), np.str_('resource/iot_gateway/008'), np.str_('resource/infra/014'), np.str_('resource/devops/004'), np.str_('resource/hr/025'), np.str_('resource/engineering/004'), np.str_('resource/iot_gateway/006'), np.str_('resource/billing/010')]",certificate,RHEL 9,10:3d:15:b1:db:bd,SMB,847.3937880178488,26.45169525526937
USE-00065,user,Gloria Atkinson,9,18,Lagos,NG,6.5244,3.3792,10.16.251,"[np.str_('resource/finance/011'), np.str_('resource/finance/009'), np.str_('resource/engineering/009')]",sso,Windows Server 2022,b4:fa:36:dd:b9:eb,SMB,645.117514368021,29.17288686347949
USE-00066,user,Christopher Boyd,6,14,Moscow,RU,55.7558,37.6173,10.100.58,"[np.str_('resource/customer_db/015'), np.str_('resource/devops/003'), np.str_('resource/billing/003'), np.str_('resource/iot_gateway/014'), np.str_('resource/finance/012')]",sso,Windows 11,52:8a:f7:ee:df:89,HTTPS,308.2782232778119,175.29762147335805
USE-00067,user,Sandra Miller,6,13,San Francisco,US,37.7749,-122.4194,10.66.58,"[np.str_('resource/engineering/004'), np.str_('resource/customer_db/007'), np.str_('resource/finance/006'), np.str_('resource/customer_db/021'), np.str_('resource/customer_db/012'), np.str_('resource/engineering/016')]",mfa,macOS Sonoma,06:e6:7c:ed:c2:ac,SSH,926.1705129257895,142.98650437858635
USE-00068,user,Frederick Freeman MD,6,15,Singapore,SG,1.3521,103.8198,10.181.48,"[np.str_('resource/hr/024'), np.str_('resource/customer_db/022'), np.str_('resource/finance/010'), np.str_('resource/devops/010')]",password,macOS Sonoma,84:84:ae:8f:8d:05,HTTPS,352.18502435273166,185.3881748355229
USE-00069,user,Angela Cortez,6,15,San Francisco,US,37.7749,-122.4194,10.61.22,"[np.str_('resource/finance/023'), np.str_('resource/billing/011'), np.str_('resource/finance/007'), np.str_('resource/hr/006')]",sso,Windows Server 2022,ca:fa:7b:f3:fb:e5,SMB,1547.0513595908287,20.853450724137307
USE-00070,user,Edward Sullivan,9,17,Frankfurt,DE,50.1109,8.6821,10.115.246,"[np.str_('resource/billing/004'), np.str_('resource/devops/024'), np.str_('resource/devops/002'), np.str_('resource/customer_db/015'), np.str_('resource/billing/022'), np.str_('resource/hr/007')]",api_key,IoT-RTOS,6c:7c:9c:bc:f2:b0,SFTP,727.3806121138549,166.3686822476203
USE-00071,user,Krista Bell MD,7,15,San Francisco,US,37.7749,-122.4194,10.88.97,"[np.str_('resource/iot_gateway/003'), np.str_('resource/infra/018'), np.str_('resource/customer_db/008'), np.str_('resource/hr/018'), np.str_('resource/finance/022'), np.str_('resource/infra/003'), np.str_('resource/engineering/009')]",password,RHEL 9,50:9c:80:76:3d:62,HTTPS,1338.3079790294596,147.4564224230458
USE-00072,user,Joshua Gill,8,17,Frankfurt,DE,50.1109,8.6821,10.36.170,"[np.str_('resource/hr/005'), np.str_('resource/devops/002'), np.str_('resource/infra/019'), np.str_('resource/finance/025')]",api_key,Windows 11,b8:5e:62:6e:f7:8d,SSH,972.2517386578328,198.51940566716792
USE-00073,user,Paige Carlson,6,15,Frankfurt,DE,50.1109,8.6821,10.32.146,"[np.str_('resource/infra/016'), np.str_('resource/infra/010'), np.str_('resource/devops/023')]",certificate,Windows 11,2c:33:63:97:74:b8,SFTP,1020.8166940271104,131.9225653749362
USE-00074,user,Michael Martinez,7,16,London,UK,51.5074,-0.1278,10.169.249,"[np.str_('resource/infra/019'), np.str_('resource/hr/002'), np.str_('resource/customer_db/014')]",certificate,Windows Server 2022,1a:17:1b:95:40:fb,HTTPS,1120.799141472022,61.630497143633406
USE-00075,user,Laura Harrison,9,18,Moscow,RU,55.7558,37.6173,10.172.135,"[np.str_('resource/infra/023'), np.str_('resource/infra/011'), np.str_('resource/infra/021'), np.str_('resource/hr/012')]",api_key,RHEL 9,f0:e1:ae:5e:1a:81,SMB,1394.149358470387,197.01507367872875
USE-00076,user,Ashley Jones,7,16,San Francisco,US,37.7749,-122.4194,10.226.167,"[np.str_('resource/engineering/022'), np.str_('resource/finance/003'), np.str_('resource/devops/009'), np.str_('resource/billing/008'), np.str_('resource/infra/005'), np.str_('resource/finance/007')]",mfa,Windows 11,ce:fb:25:1b:4d:4c,MQTT,370.9485826984933,193.07893331738586
USE-00077,user,Elizabeth Mcknight,6,15,Frankfurt,DE,50.1109,8.6821,10.119.224,"[np.str_('resource/billing/021'), np.str_('resource/devops/021'), np.str_('resource/devops/008'), np.str_('resource/devops/007')]",api_key,macOS Sonoma,e8:3c:d5:73:c2:e6,SFTP,756.8085276626728,113.06350763289726
USE-00078,user,Scott Branch,8,16,San Francisco,US,37.7749,-122.4194,10.25.0,"[np.str_('resource/infra/004'), np.str_('resource/billing/003'), np.str_('resource/devops/012'), np.str_('resource/infra/013'), np.str_('resource/finance/021'), np.str_('resource/customer_db/013'), np.str_('resource/billing/006')]",mfa,Ubuntu 22.04,42:9c:1e:32:6a:6c,MQTT,158.87535889767003,196.26043406731034
USE-00079,user,Brooke Thompson,7,16,Lagos,NG,6.5244,3.3792,10.153.146,"[np.str_('resource/engineering/020'), np.str_('resource/devops/006'), np.str_('resource/engineering/014'), np.str_('resource/billing/024'), np.str_('resource/infra/024'), np.str_('resource/customer_db/003'), np.str_('resource/infra/025')]",certificate,macOS Sonoma,b0:26:50:01:d1:e6,RDP,450.52686366106064,87.8970769189407
